jogador,nacao,posicao,idade,minPor90,gols,assist
Renan, BRA,ZG,20,3.2,0,0
Robert Renan, BRA,ZG,18,2.0,0,0
Marcos Victor, BRA,ZG,20,1.1,0,0
Natanael, BRA,ZG,20,3.0,0,0
Wellington Paulista, BRA,AT,38,2.2,0,0
Fábio, BRA,AT,25,0.7,0,0
Diego Matos, BRA,ZG,25,1.0,0,0
Douglas Borges, BRA,G,32,1.0,0,0
Carlos Eduardo, BRA,LT,25,2.6,0,0
Bruno Méndez, URU,"LT,ZG",22,1.4,0,0
Wescley, BRA,LT,30,0.8,0,0
Nathan, BRA,ZG,19,1.5,0,0
Airton Moraes, BRA,G,28,1.0,0,0
Carlos Daniel, BRA,ZG,20,17.0,23,17
Rômulo, BRA,"AT,LT",27,1.8,0,0
Maranhão, BRA,LT,20,1.0,0,0
Guilherme Almeida Augusto, BRA,ZG,29,1.0,0,0
Jô, BRA,AT,35,2.2,1,0
Kelvyn, BRA,ZG,23,0.6,0,0
Warley, BRA,"LT,ZG",22,1.0,0,0
Carlos Alberto, BRA,AT,20,1.4,0,0
Dodô, BRA,ZG,30,17.0,17,13
Vitinho, BRA,LT,21,0.3,0,0
Jonathan, BRA,ZG,24,0.5,0,0
Weverson, BRA,LT,22,0.5,0,0
Giovane, BRA,AT,18,2.0,0,0
Dentinho, BRA,"AT,LT",33,0.4,0,0
Hugo, BRA,LT,22,2.1,1,0
Arthur, BRA,ZG,19,0.6,0,0
Gustavo Santos, BRA,AT,20,0.2,0,0
Jefferson, BRA,LT,22,0.8,0,0
Welliton, BRA,AT,22,0.6,0,0
Xavier, BRA,LT,22,1.3,0,0
João Victor, BRA,AT,18,0.2,0,0
Márcio Silva, BRA,ZG,21,1.0,0,0
Gustavo Marques, BRA,ZG,20,0.5,0,0
Matheus Ribeiro, BRA,ZG,28,0.2,0,0
Lucas Mezenga, BRA,ZG,20,0.3,0,0
Nathan Camargo, BRA,LT,16,0.2,0,0
João Pedro, BRA,ZG,25,1.3,0,0
Léo Rafael, BRA,LT,21,0.1,0,0
Neílton, BRA,LT,28,0.9,0,0
Kawê, BRA,AT,20,0.3,0,0
Glédson, BRA,G,39,0.0,0,0
Marllon Borges, BRA,ZG,30,15.0,0,0
Barreto, BRA,LT,26,0.3,0,0
Gabriel Novaes, BRA,AT,23,0.2,0,0
Guilherme Biro, BRA,AT,18,0.8,0,0
David, BRA,LT,18,17.0,18,9
Luiz Gabriel, BRA,LT,20,0.4,0,0
Flávio, BRA,LT,22,0.3,0,0
Paulo Baya, BRA,LT,22,17.0,19,4
Walter, BRA,G,34,14.0,0,0
Daniel Cruz, BRA,AT,21,0.1,0,0
Bruno, BRA,AT,19,17.0,26,18
Felipe Augusto, BRA,AT,18,0.8,0,0
Pedro Igor, BRA,AT,20,17.0,18,14
Pablo Javier García, URU,LT,23,0.1,0,0
Juninho, BRA,LT,36,0.2,0,0
Felipe Camargo, BRA,ZG,23,17.0,27,15
Uendel, BRA,ZG,33,13.6,1,1
Rikelmi, BRA,AT,20,0.0,0,0
Júlio César, BRA,G,37,17.0,19,8
Fagner, BRA,ZG,33,0.4,0,0
Thalisson Gabriel, BRA,ZG,20,17.0,20,13
Robson, BRA,G,22,17.0,12,9
Gabriel Barbosa, BRA,AT,25,12.9,5,0
João Lucas, BRA,ZG,24,13.5,0,0
Breno, BRA,LT,21,17.0,16,7
Wesley Ribeiro, BRA,LT,17,0.1,0,0
Maicky, BRA,LT,21,17.0,26,17
Everton Ribeiro, BRA,"LT,AT",33,12.3,1,2
João Pedro Pepê, BRA,LT,24,10.4,0,0
Igo Gabriel, BRA,G,20,17.0,22,14
Matheus Araújo, BRA,LT,20,17.0,17,12
Ayrton Lucas, BRA,ZG,25,10.9,1,1
Alan Empereur, BRA,ZG,28,10.0,0,0
Breno, BRA,LT,18,17.0,17,12
Giorgian De Arrascaeta, URU,LT,28,10.9,2,5
Rafael Gava, BRA,LT,29,9.0,0,1
João Gomes, BRA,LT,21,10.2,0,1
Valdívia, BRA,"LT,AT",27,8.3,2,0
Matheuzinho, BRA,"ZG,LT",21,10.3,0,1
Fábio, BRA,G,41,17.0,0,0
