jogador,nacao,posicao,idade,minPor90,desarmes
Camilo, BRA,LT,23,8.3,7
Luiz Henrique, BRA,"LT,AT",21,11.7,20
Edenílson, BRA,LT,32,13.4,10
Pedro Raul, BRA,AT,25,12.4,6
Murilo Cerqueira, BRA,ZG,25,14.5,10
Juninho Capixaba, BRA,"LT,ZG",25,12.6,18
Andreas Pereira, BRA,LT,26,8.8,6
André Luis, BRA,"LT,AT",25,7.2,6
Samuel Xavier, BRA,ZG,32,11.5,11
João Paulo, BRA,G,27,16.0,1
Fabricio Bustos, ARG,ZG,26,12.7,14
Caetano, BRA,ZG,23,12.3,11
Zé Rafael, BRA,LT,29,13.5,14
Lucas Lima, BRA,"LT,AT",32,10.3,6
Pablo, BRA,ZG,31,7.6,10
Rodriguinho Marinho, BRA,"AT,LT",34,7.2,3
Nino, BRA,ZG,25,11.4,9
Vinícius Zanocelo, BRA,LT,21,13.0,6
Gabriel, BRA,LT,30,13.3,39
Jandrei, BRA,G,29,16.3,0
Adailson Dadá, BRA,"LT,ZG",25,12.1,8
Dudu, BRA,"LT,AT",30,13.2,5
Felipe, BRA,LT,28,9.6,9
David Luiz, BRA,"ZG,LT",35,7.3,3
Alesson, BRA,LT,23,5.2,3
Jhon Arias, COL,"LT,AT",24,10.0,15
Eduardo Gabriel, BRA,ZG,26,15.0,0
Carlos de Pena, URU,LT,30,12.6,9
Jonathan Calleri, ARG,AT,28,15.4,4
Caio Vinícius, BRA,LT,23,10.4,14
Wéverton, BRA,G,34,14.0,0
Marcelo Boeck, BRA,G,37,10.0,0
Bruno Henrique, BRA,"LT,AT",31,6.8,8
Éverton, BRA,LT,33,4.4,6
Wellington Martins, BRA,LT,31,6.9,4
Rodrigo Fernández, URU,LT,26,13.6,24
Vitão, BRA,ZG,22,11.0,7
Igor Gomes, BRA,LT,23,14.8,7
Elvis Vieira Araújo, BRA,"LT,AT",31,9.4,5
Rony, BRA,AT,27,13.0,3
José Welison, BRA,LT,27,10.0,11
Rodrigo Caio, BRA,ZG,28,6.5,4
Paulão, BRA,ZG,36,4.4,1
David Braz, BRA,ZG,35,5.9,3
Marcos Leonardo, BRA,AT,19,12.9,1
Gabriel Mercado, ARG,ZG,35,10.9,6
Léo Pelé, BRA,ZG,26,13.1,7
Matheus Sales, BRA,"LT,AT",27,10.1,13
Gustavo Scarpa, BRA,"LT,AT",28,12.4,5
Brayan Ceballos, COL,ZG,21,9.8,9
Pedro, BRA,AT,25,7.0,3
Kelvin Osorio, COL,LT,28,3.6,4
Caio Paulista, BRA,ZG,24,8.2,10
Léo Baptistão, BRA,"LT,AT",29,11.0,8
Wanderson, BRA,"LT,AT",27,8.0,3
Diego, BRA,ZG,22,13.3,19
Danilo Barcelos, BRA,"ZG,LT",30,8.2,9
Danilo, BRA,LT,21,11.8,17
Silvio Romero, ARG,AT,33,7.9,1
Lázaro, BRA,LT,20,4.9,6
Marcão Silva, BRA,LT,31,4.9,3
Yago, BRA,"LT,ZG",27,6.3,6
Lucas, BRA,ZG,21,11.9,15
Renê, BRA,ZG,29,9.0,14
Rafinha, BRA,"ZG,LT",36,12.0,15
Apodi, BRA,"LT,AT",35,7.5,5
Gustavo Gómez, PAR,ZG,29,11.0,9
Hércules, BRA,LT,21,7.4,4
Léo Pereira, BRA,ZG,26,4.9,2
Jenison, BRA,AT,31,3.3,1
Nonato, BRA,LT,24,6.8,11
Maicon, BRA,ZG,33,11.2,11
David, BRA,AT,26,7.6,3
Rodrigo Nestor, BRA,LT,21,11.0,9
Vinícius, BRA,"AT,LT",28,7.5,6
Joaquín Piquerez, URU,ZG,23,10.1,14
Lucas Crispim, BRA,"LT,ZG",28,6.6,6
Vitinho, BRA,"AT,LT",28,4.5,5
Joaquim, BRA,ZG,23,3.0,3
Matheus Martins, BRA,LT,19,4.7,6
Mádson, BRA,ZG,30,10.6,6
Alan Patrick, BRA,"LT,AT",31,6.1,4
Luciano, BRA,"AT,LT",29,8.6,7
Fellipe Bastos, BRA,LT,32,7.6,7
Marcos Rocha, BRA,ZG,33,9.5,28
Romarinho, BRA,"AT,LT",28,5.8,2
Santos, BRA,G,32,4.0,0
Cristian Rivas, VEN,LT,25,2.4,1
Nathan, BRA,"LT,AT",26,3.5,1
Jhojan Julio, ECU,"LT,AT",24,8.3,12
Moisés, BRA,ZG,27,5.6,8
Patrick, BRA,"LT,AT",29,8.7,17
Maguinho, BRA,"ZG,LT",29,6.5,10
Raphael Veiga, BRA,LT,27,8.2,7
Anthony Landazuri, ECU,ZG,25,5.8,4
Mauricio Isla, CHI,"ZG,LT",34,3.8,3
Élton Rodrigues Brandão, BRA,AT,36,3.3,1
Matheus Martinelli, BRA,LT,21,3.4,4
Lucas Braga, BRA,"LT,ZG",25,10.0,8
Rodrigo Moledo, BRA,ZG,34,5.1,11
Welington, BRA,"ZG,LT",21,9.2,9
Da Silva, BRA,ZG,21,6.3,3
Luan Garcia, BRA,ZG,29,6.5,3
Robson, BRA,AT,31,5.5,3
Filipe Luís, BRA,ZG,36,3.6,8
Igor Cariús, BRA,ZG,29,2.4,4
Luccas Claro, BRA,ZG,30,4.7,1
Felipe Jonatan, BRA,"ZG,LT",24,6.0,2
Mauricio, BRA,"LT,AT",21,5.4,4
Robert Arboleda, ECU,ZG,30,8.0,7
Sidimar, BRA,ZG,30,5.0,5
Gabriel Veron, BRA,"LT,AT",19,5.6,9
Jussa, BRA,LT,26,5.4,0
Marinho, BRA,"LT,AT",32,4.6,4
Daniel Guedes, BRA,ZG,28,2.4,5
Willian, BRA,"LT,AT",35,3.4,1
Emiliano Velázquez, URU,ZG,28,6.0,10
Rodrigo Dourado, BRA,LT,28,5.0,8
Pablo Maia, BRA,"LT,ZG",20,7.7,6
Yan Souto, BRA,ZG,20,5.0,2
Jorge, BRA,ZG,26,4.9,8
Max Walef, BRA,G,28,5.0,0
Gustavo Henrique, BRA,ZG,29,3.8,3
Marquinhos, BRA,LT,25,2.2,5
Lucas Felipe Calegari, BRA,"LT,ZG",20,3.4,4
Guilherme Camacho, BRA,LT,32,4.8,7
Alexandre Alemão, BRA,AT,24,6.1,6
Reinaldo, BRA,LT,32,6.2,2
Sidnei, BRA,ZG,32,3.3,3
Gabriel Menino, BRA,LT,21,4.2,10
Matheus de Vargas, BRA,LT,26,3.9,2
Rodinei, BRA,"ZG,LT",30,3.0,5
João Carlos, BRA,G,34,2.0,0
Cristiano da Silva Leite, BRA,"ZG,LT",28,3.1,4
Brayan Angulo, ECU,"LT,AT",26,4.5,2
Pedro Henrique, BRA,"LT,AT",32,5.5,12
Alisson, BRA,"LT,AT",29,6.3,6
Nicolas, BRA,AT,32,5.0,3
Rafael Navarro, BRA,AT,22,6.0,3
Ronald, BRA,LT,25,3.8,3
Diego Alves, BRA,G,37,3.0,0
Jonathan Cafu, BRA,LT,31,1.6,4
Marlon, BRA,"ZG,LT",25,3.0,5
Ricardo Goulart, BRA,LT,31,4.5,3
Taison, BRA,"LT,AT",34,5.4,6
Igor Vinícius de Souza, BRA,LT,25,6.1,11
Auremir, BRA,LT,30,2.6,4
Mayke, BRA,"ZG,LT",29,4.0,4
Guilherme Tinga, BRA,ZG,28,3.1,8
Victor Hugo, BRA,LT,18,2.3,2
Mario Pineida, ECU,ZG,30,3.0,2
Ângelo Borges, BRA,LT,17,3.9,0
Bruno Méndez, URU,ZG,22,4.8,2
Miranda, BRA,ZG,37,6.0,9
Hugo, BRA,ZG,24,2.0,4
Wesley, BRA,LT,23,3.3,5
Habraão, BRA,ZG,21,2.1,2
Diego, BRA,LT,37,1.9,5
Fred, BRA,AT,38,1.4,0
Auro, BRA,ZG,26,3.5,5
Wesley Moraes, BRA,AT,25,3.3,0
Éder, ITA,"AT,LT",35,5.6,5
Juan Pablo, BRA,"LT,ZG",20,1.4,2
Marcelo Lomba, BRA,G,35,2.0,0
Fernando Miguel, BRA,G,37,2.0,0
Fabrício Bruno, BRA,ZG,26,1.0,1
Felipe Melo, BRA,"ZG,LT",39,2.6,3
Sandry, BRA,LT,19,4.2,7
